date_key,week_start,week_end,week_num,calendar_month,calendar_month_name,calendar_quarter,calendar_year,trading_year,trading_period,trading_period_num,week_in_trading_period,is_school_holiday_peak,is_festive_peak
2024-07-01,2024-07-01,2024-07-07,1,7,July,Q3,2024,TY1,P01,1,1,False,False
2024-07-08,2024-07-08,2024-07-14,2,7,July,Q3,2024,TY1,P01,1,2,False,False
2024-07-15,2024-07-15,2024-07-21,3,7,July,Q3,2024,TY1,P01,1,3,False,False
2024-07-22,2024-07-22,2024-07-28,4,7,July,Q3,2024,TY1,P01,1,4,False,False
2024-07-29,2024-07-29,2024-08-04,5,7,July,Q3,2024,TY1,P02,2,1,False,False
2024-08-05,2024-08-05,2024-08-11,6,8,August,Q3,2024,TY1,P02,2,2,True,False
2024-08-12,2024-08-12,2024-08-18,7,8,August,Q3,2024,TY1,P02,2,3,True,False
2024-08-19,2024-08-19,2024-08-25,8,8,August,Q3,2024,TY1,P02,2,4,True,False
2024-08-26,2024-08-26,2024-09-01,9,8,August,Q3,2024,TY1,P03,3,1,True,False
2024-09-02,2024-09-02,2024-09-08,10,9,September,Q3,2024,TY1,P03,3,2,False,False
2024-09-09,2024-09-09,2024-09-15,11,9,September,Q3,2024,TY1,P03,3,3,False,False
2024-09-16,2024-09-16,2024-09-22,12,9,September,Q3,2024,TY1,P03,3,4,False,False
2024-09-23,2024-09-23,2024-09-29,13,9,September,Q3,2024,TY1,P04,4,1,False,False
2024-09-30,2024-09-30,2024-10-06,14,9,September,Q3,2024,TY1,P04,4,2,False,False
2024-10-07,2024-10-07,2024-10-13,15,10,October,Q4,2024,TY1,P04,4,3,False,False
2024-10-14,2024-10-14,2024-10-20,16,10,October,Q4,2024,TY1,P04,4,4,False,False
2024-10-21,2024-10-21,2024-10-27,17,10,October,Q4,2024,TY1,P05,5,1,False,False
2024-10-28,2024-10-28,2024-11-03,18,10,October,Q4,2024,TY1,P05,5,2,False,False
2024-11-04,2024-11-04,2024-11-10,19,11,November,Q4,2024,TY1,P05,5,3,False,False
2024-11-11,2024-11-11,2024-11-17,20,11,November,Q4,2024,TY1,P05,5,4,False,False
2024-11-18,2024-11-18,2024-11-24,21,11,November,Q4,2024,TY1,P06,6,1,False,False
2024-11-25,2024-11-25,2024-12-01,22,11,November,Q4,2024,TY1,P06,6,2,False,False
2024-12-02,2024-12-02,2024-12-08,23,12,December,Q4,2024,TY1,P06,6,3,True,True
2024-12-09,2024-12-09,2024-12-15,24,12,December,Q4,2024,TY1,P06,6,4,True,True
2024-12-16,2024-12-16,2024-12-22,25,12,December,Q4,2024,TY1,P07,7,1,True,True
2024-12-23,2024-12-23,2024-12-29,26,12,December,Q4,2024,TY1,P07,7,2,True,True
2024-12-30,2024-12-30,2025-01-05,27,12,December,Q4,2024,TY1,P07,7,3,True,True
2025-01-06,2025-01-06,2025-01-12,28,1,January,Q1,2025,TY1,P07,7,4,True,False
2025-01-13,2025-01-13,2025-01-19,29,1,January,Q1,2025,TY1,P08,8,1,True,False
2025-01-20,2025-01-20,2025-01-26,30,1,January,Q1,2025,TY1,P08,8,2,True,False
2025-01-27,2025-01-27,2025-02-02,31,1,January,Q1,2025,TY1,P08,8,3,True,False
2025-02-03,2025-02-03,2025-02-09,32,2,February,Q1,2025,TY1,P08,8,4,False,False
2025-02-10,2025-02-10,2025-02-16,33,2,February,Q1,2025,TY1,P09,9,1,False,False
2025-02-17,2025-02-17,2025-02-23,34,2,February,Q1,2025,TY1,P09,9,2,False,False
2025-02-24,2025-02-24,2025-03-02,35,2,February,Q1,2025,TY1,P09,9,3,False,False
