chain_code,chain_name,calendar_year,calendar_month,opening_balance,credit_sales,collections,write_offs,closing_balance,active_accounts,new_accounts,arrears_30,arrears_60,arrears_90plus,bad_debt_provision,interest_income
MER,Meridian Fashion,2024,7,160487.1,72181.96,129186.22,2481.21,101001.63,538,31,12692.71,6205.8,2408.22,1529.5,2076.79
MER,Meridian Fashion,2024,8,101001.63,68803.14,93639.53,1176.79,74988.45,378,15,6286.21,4732.16,2920.8,2124.67,1523.61
MER,Meridian Fashion,2024,9,74988.45,79241.38,82822.71,593.88,70813.24,325,7,6320.6,4059.15,2998.44,2369.53,1408.29
MER,Meridian Fashion,2024,10,70813.24,46235.89,56596.69,492.07,59960.37,274,7,7206.57,2847.28,2697.04,1915.11,1180.35
MER,Meridian Fashion,2024,11,59960.37,59509.4,59142.6,559.13,59768.04,254,6,5498.33,1810.64,2606.35,1823.03,1528.72
MER,Meridian Fashion,2024,12,59768.04,102929.65,70652.12,424.17,91621.4,484,22,9919.46,4820.15,3935.14,2716.88,2135.12
MER,Meridian Fashion,2025,1,91621.4,50010.54,66271.79,1058.3,74301.85,376,13,9748.71,2924.34,1616.0,944.41,1441.75
MER,Meridian Fashion,2025,2,74301.85,54302.77,68517.84,1111.91,58974.87,277,14,5308.82,1822.82,1338.81,959.54,1293.21
MER,Meridian Fashion,2025,3,58974.87,50501.41,49984.67,910.86,58580.75,271,9,5746.23,3234.32,1807.47,951.26,982.4
MER,Meridian Fashion,2025,4,58580.75,69035.6,66332.54,526.53,60757.28,235,12,7473.96,2914.8,1711.37,905.17,1733.95
MER,Meridian Fashion,2025,5,60757.28,48160.8,48454.7,831.66,59631.72,307,16,7484.45,3505.06,1965.63,1352.73,1416.94
MER,Meridian Fashion,2025,6,59631.72,68065.44,53078.07,335.38,74283.71,338,11,6586.84,2535.76,2795.25,1540.68,2145.08
MER,Meridian Fashion,2025,7,74283.71,52956.53,62859.27,396.83,63984.14,249,9,8123.69,2131.26,2213.84,1432.82,1859.85
MER,Meridian Fashion,2025,8,63984.14,57559.65,55835.77,638.15,65069.87,293,11,5289.97,4102.76,3050.79,1653.76,1516.81
