chain_code,chain_name,calendar_year,calendar_month,revenue,cogs,gross_margin,opex,ebitda,budget_revenue,budget_ebitda,inventory_value,debtors_balance,creditors_balance
MER,Meridian Fashion,2024,7,178319.0,76798.8,101520.2,50271.07,51249.13,176575.14,56762.48,384793.58,58533.78,68370.05
MER,Meridian Fashion,2024,8,158039.9,68229.3,89810.6,44392.01,45418.59,165273.43,40351.42,309807.0,64992.23,59407.66
MER,Meridian Fashion,2024,9,178415.47,76846.54,101568.93,48441.44,53127.49,187629.18,52225.61,317899.07,83208.59,40384.92
MER,Meridian Fashion,2024,10,142662.88,61435.41,81227.47,40831.61,40395.86,145668.26,43523.56,268722.76,84343.64,52665.41
MER,Meridian Fashion,2024,11,142896.2,61529.2,81367.0,40335.41,41031.59,135914.61,40621.94,233641.43,49483.07,47575.58
MER,Meridian Fashion,2024,12,253430.29,109303.21,144127.08,70854.29,73272.79,272387.27,69444.11,480597.03,111728.99,62935.54
MER,Meridian Fashion,2025,1,138211.21,59499.13,78712.08,31842.99,46869.09,137673.95,43029.24,295198.58,59589.15,49567.02
MER,Meridian Fashion,2025,2,142011.36,61147.51,80863.85,39198.15,41665.7,137747.99,45818.85,318646.72,59111.31,37625.97
MER,Meridian Fashion,2025,3,178921.64,77045.87,101875.77,49131.82,52743.95,168608.67,47995.54,287328.44,95915.83,59012.54
MER,Meridian Fashion,2025,4,156055.14,67368.08,88687.06,43135.71,45551.35,163064.61,44989.92,320692.21,53361.35,36770.31
MER,Meridian Fashion,2025,5,141169.73,60784.88,80384.85,38606.0,41778.85,140516.88,42596.5,312267.31,69231.82,43852.14
MER,Meridian Fashion,2025,6,179134.05,77140.79,101993.26,47423.33,54569.93,173514.98,46888.96,349199.24,65272.04,51176.08
MER,Meridian Fashion,2025,7,144606.12,62294.01,82312.11,41685.93,40626.18,138450.28,35242.84,263921.66,56118.47,47640.38
MER,Meridian Fashion,2025,8,157980.91,68227.18,89753.73,41795.84,47957.89,165156.99,50321.93,304130.55,85974.18,38670.43
MER,Meridian Fashion,2025,9,176841.74,76173.2,100668.54,39226.5,61442.04,165242.28,65540.7,348290.12,61608.4,53353.07
MER,Meridian Fashion,2025,10,142702.01,61459.63,81242.38,33133.26,48109.12,147184.46,47332.01,271821.21,55718.52,46224.59
MER,Meridian Fashion,2025,11,142256.99,61290.68,80966.31,35414.17,45552.14,132871.44,40331.95,337080.52,81452.68,47799.55
MER,Meridian Fashion,2025,12,244882.01,105698.9,139183.11,59082.58,80100.53,263264.87,86798.96,532254.02,106476.77,64359.7
MER,Meridian Fashion,2026,1,145671.5,62737.01,82934.49,33171.04,49763.45,155055.13,49103.23,256657.26,57072.2,45903.91
MER,Meridian Fashion,2026,2,140307.6,60437.94,79869.66,32851.88,47017.78,148313.31,50664.28,305249.06,60280.06,45384.27
MER,Meridian Fashion,2026,3,178239.99,76804.03,101435.96,47541.57,53894.39,182513.38,47175.55,344474.79,55697.19,53578.21
MER,Meridian Fashion,2026,4,156270.21,67504.25,88765.96,38503.24,50262.72,147382.17,44282.51,323497.41,54878.64,58731.94
MER,Meridian Fashion,2026,5,142493.22,61442.18,81051.04,37972.29,43078.75,139002.02,44253.71,230588.67,83724.42,42574.6
MER,Meridian Fashion,2026,6,143111.54,61702.24,81409.3,40446.01,40963.29,133556.96,40799.33,285159.13,83197.6,44961.88
TNY,TinyThreads,2024,7,119244.72,51348.49,67896.23,30750.73,37145.5,114798.81,35268.56,240461.5,51474.78,26118.14
TNY,TinyThreads,2024,8,105839.8,45719.9,60119.9,30281.12,29838.78,112548.53,26618.42,216254.94,35199.43,35153.85
TNY,TinyThreads,2024,9,119027.83,51288.15,67739.68,28864.09,38875.59,122063.95,41522.95,263636.88,39555.6,44436.3
TNY,TinyThreads,2024,10,95590.51,41160.25,54430.26,22790.41,31639.85,88515.47,32160.51,181310.14,52473.16,33887.26
TNY,TinyThreads,2024,11,93852.66,40421.83,53430.83,23028.73,30402.1,100653.59,28495.14,188835.84,35362.7,35345.55
TNY,TinyThreads,2024,12,167245.96,72117.85,95128.11,38996.51,56131.6,155068.06,55038.67,400370.18,94912.61,57654.13
