date_key,store_id,product_id,stock_on_hand_units,stock_on_hand_cost,stock_on_hand_retail,stock_age_weeks,units_received
2024-07-01,ST001,SKU0001,53.74,722.86,1566.1,1,0
2024-07-08,ST001,SKU0001,46.11,620.23,1343.75,2,0
2024-07-15,ST001,SKU0001,40.75,548.12,1187.53,3,0
2024-07-22,ST001,SKU0001,33.65,452.53,980.42,4,0
2024-07-29,ST001,SKU0001,26.66,358.57,776.85,5,0
2024-08-05,ST001,SKU0001,18.92,254.48,551.35,6,0
2024-08-12,ST001,SKU0001,11.87,159.59,345.75,7,0
2024-08-19,ST001,SKU0001,65.47,880.6,1907.87,1,61
2024-08-26,ST001,SKU0001,58.16,782.29,1694.86,2,0
2024-09-02,ST001,SKU0001,50.42,678.21,1469.38,3,0
2024-09-09,ST001,SKU0001,43.58,586.15,1269.92,4,0
2024-09-16,ST001,SKU0001,35.55,478.19,1036.02,5,0
2024-09-23,ST001,SKU0001,28.91,388.88,842.52,6,0
2024-09-30,ST001,SKU0001,21.47,288.71,625.51,7,0
2024-10-07,ST001,SKU0001,14.12,189.9,411.43,8,0
2024-10-14,ST001,SKU0001,66.32,892.0,1932.57,1,61
2024-10-21,ST001,SKU0001,59.75,803.64,1741.13,2,0
2024-10-28,ST001,SKU0001,52.23,702.53,1522.07,3,0
2024-11-04,ST001,SKU0001,45.33,609.67,1320.88,4,0
2024-11-11,ST001,SKU0001,39.02,524.84,1137.08,5,0
2024-11-18,ST001,SKU0001,31.4,422.29,914.9,6,0
2024-11-25,ST001,SKU0001,24.96,335.66,727.21,7,0
2024-12-02,ST001,SKU0001,15.37,206.77,447.99,8,0
2024-12-09,ST001,SKU0001,65.94,886.83,1921.36,1,61
2024-12-16,ST001,SKU0001,55.72,749.37,1623.55,2,0
2024-12-23,ST001,SKU0001,45.94,617.86,1338.62,3,0
2024-12-30,ST001,SKU0001,38.14,512.98,1111.4,4,0
2025-01-06,ST001,SKU0001,31.54,424.15,918.93,5,0
2025-01-13,ST001,SKU0001,24.77,333.11,721.69,6,0
2025-01-20,ST001,SKU0001,18.49,248.74,538.9,7,0
2025-01-27,ST001,SKU0001,12.91,173.6,376.12,8,0
2025-02-03,ST001,SKU0001,66.77,898.06,1945.69,1,61
2025-02-10,ST001,SKU0001,59.17,795.88,1724.3,2,0
2025-02-17,ST001,SKU0001,52.47,705.67,1528.86,3,0
2025-02-24,ST001,SKU0001,44.75,601.82,1303.88,4,0
2025-03-03,ST001,SKU0001,38.82,522.09,1131.12,5,0
2025-03-10,ST001,SKU0001,32.59,438.32,949.65,6,0
2025-03-17,ST001,SKU0001,25.47,342.57,742.18,7,0
2025-03-24,ST001,SKU0001,18.83,253.24,548.66,8,0
2025-03-31,ST001,SKU0001,72.3,972.47,2106.91,1,61
2025-04-07,ST001,SKU0001,64.92,873.16,1891.75,2,0
2025-04-14,ST001,SKU0001,58.22,783.12,1696.65,3,0
2025-04-21,ST001,SKU0001,52.23,702.48,1521.95,4,0
2025-04-28,ST001,SKU0001,45.62,613.63,1329.45,5,0
2025-05-05,ST001,SKU0001,38.22,514.05,1113.71,6,0
2025-05-12,ST001,SKU0001,30.66,412.38,893.44,7,0
2025-05-19,ST001,SKU0001,24.02,323.01,699.82,8,0
2025-05-26,ST001,SKU0001,79.43,1068.38,2314.68,1,61
2025-06-02,ST001,SKU0001,73.54,989.17,2143.08,2,0
2025-06-09,ST001,SKU0001,66.21,890.5,1929.31,3,0
2025-06-16,ST001,SKU0001,59.53,800.63,1734.59,4,0
2025-06-23,ST001,SKU0001,52.83,710.5,1539.33,5,0
2025-06-30,ST001,SKU0001,46.61,626.9,1358.2,6,0
2025-07-07,ST001,SKU0001,40.41,543.48,1177.48,7,0
2025-07-14,ST001,SKU0001,32.7,439.84,952.93,8,0
2025-07-21,ST001,SKU0001,86.34,1161.23,2515.86,1,61
2025-07-28,ST001,SKU0001,79.84,1073.79,2326.42,2,0
2025-08-04,ST001,SKU0001,72.78,978.83,2120.67,3,0
2025-08-11,ST001,SKU0001,65.58,882.05,1911.0,4,0
2025-08-18,ST001,SKU0001,57.23,769.8,1667.81,5,0
2025-08-25,ST001,SKU0001,51.09,687.22,1488.88,6,0
2025-09-01,ST001,SKU0001,43.91,590.58,1279.52,7,0
2025-09-08,ST001,SKU0001,36.21,487.0,1055.1,8,0
2025-09-15,ST001,SKU0001,88.98,1196.76,2592.84,1,61
2025-09-22,ST001,SKU0001,82.52,1109.84,2404.52,2,0
2025-09-29,ST001,SKU0001,75.84,1020.1,2210.08,3,0
2025-10-06,ST001,SKU0001,68.31,918.77,1990.55,4,0
2025-10-13,ST001,SKU0001,62.55,841.24,1822.58,5,0
2025-10-20,ST001,SKU0001,55.28,743.54,1610.92,6,0
2025-10-27,ST001,SKU0001,46.6,626.84,1358.07,7,0
2025-11-03,ST001,SKU0001,39.26,528.0,1143.94,8,0
2025-11-10,ST001,SKU0001,95.05,1278.39,2769.69,1,61
2025-11-17,ST001,SKU0001,88.73,1193.43,2585.61,2,0
2025-11-24,ST001,SKU0001,82.24,1106.19,2396.61,3,0
2025-12-01,ST001,SKU0001,71.59,962.83,2086.01,4,0
2025-12-08,ST001,SKU0001,62.32,838.15,1815.88,5,0
2025-12-15,ST001,SKU0001,54.76,736.59,1595.85,6,0
2025-12-22,ST001,SKU0001,45.38,610.31,1322.25,7,0
2025-12-29,ST001,SKU0001,35.78,481.22,1042.57,8,0
2026-01-05,ST001,SKU0001,90.2,1213.16,2628.36,1,61
2026-01-12,ST001,SKU0001,84.01,1129.91,2448.0,2,0
2026-01-19,ST001,SKU0001,75.22,1011.71,2191.92,3,0
2026-01-26,ST001,SKU0001,67.52,908.09,1967.42,4,0
2026-02-02,ST001,SKU0001,59.73,803.42,1740.63,5,0
2026-02-09,ST001,SKU0001,52.87,711.03,1540.49,6,0
2026-02-16,ST001,SKU0001,46.42,624.28,1352.54,7,0
2026-02-23,ST001,SKU0001,39.8,535.27,1159.69,8,0
2026-03-02,ST001,SKU0001,94.87,1276.01,2764.53,1,61
2026-03-09,ST001,SKU0001,86.54,1164.02,2521.9,2,0
2026-03-16,ST001,SKU0001,79.64,1071.21,2320.82,3,0
2026-03-23,ST001,SKU0001,71.55,962.31,2084.88,4,0
2026-03-30,ST001,SKU0001,64.89,872.8,1890.96,5,0
2026-04-06,ST001,SKU0001,57.53,773.8,1676.48,6,0
2026-04-13,ST001,SKU0001,50.38,677.58,1468.02,7,0
2026-04-20,ST001,SKU0001,44.53,598.89,1297.52,8,0
2026-04-27,ST001,SKU0001,97.08,1305.72,2828.89,1,61
2026-05-04,ST001,SKU0001,90.4,1215.9,2634.29,2,0
2026-05-11,ST001,SKU0001,84.33,1134.25,2457.41,3,0
2026-05-18,ST001,SKU0001,76.79,1032.84,2237.68,4,0
2026-05-25,ST001,SKU0001,69.8,938.74,2033.83,5,0
2026-06-01,ST001,SKU0001,62.51,840.78,1821.59,6,0
2026-06-08,ST001,SKU0001,55.44,745.61,1615.39,7,0
2026-06-15,ST001,SKU0001,50.16,674.62,1461.59,8,0
2026-06-22,ST001,SKU0001,104.87,1410.45,3055.79,1,61
2024-07-01,ST002,SKU0001,54.74,736.22,1595.06,1,0
2024-07-08,ST002,SKU0001,46.97,631.72,1368.66,2,0
2024-07-15,ST002,SKU0001,39.94,537.23,1163.93,3,0
2024-07-22,ST002,SKU0001,33.22,446.78,967.97,4,0
2024-07-29,ST002,SKU0001,25.77,346.55,750.82,5,0
2024-08-05,ST002,SKU0001,18.9,254.15,550.62,6,0
2024-08-12,ST002,SKU0001,12.08,162.52,352.12,7,0
2024-08-19,ST002,SKU0001,65.94,886.83,1921.35,1,61
2024-08-26,ST002,SKU0001,58.86,791.66,1715.16,2,0
2024-09-02,ST002,SKU0001,49.74,669.06,1449.56,3,0
2024-09-09,ST002,SKU0001,43.46,584.55,1266.46,4,0
2024-09-16,ST002,SKU0001,37.69,506.94,1098.3,5,0
2024-09-23,ST002,SKU0001,30.43,409.22,886.6,6,0
2024-09-30,ST002,SKU0001,24.04,323.31,700.47,7,0
2024-10-07,ST002,SKU0001,18.84,253.42,549.05,8,0
2024-10-14,ST002,SKU0001,73.73,991.72,2148.61,1,61
2024-10-21,ST002,SKU0001,67.47,907.48,1966.09,2,0
2024-10-28,ST002,SKU0001,61.95,833.19,1805.14,3,0
2024-11-04,ST002,SKU0001,53.16,714.98,1549.04,4,0
2024-11-11,ST002,SKU0001,47.08,633.22,1371.91,5,0
2024-11-18,ST002,SKU0001,37.64,506.25,1096.82,6,0
2024-11-25,ST002,SKU0001,30.95,416.26,901.85,7,0
2024-12-02,ST002,SKU0001,19.54,262.79,569.36,8,0
2024-12-09,ST002,SKU0001,71.37,959.88,2079.63,1,61
2024-12-16,ST002,SKU0001,61.42,826.15,1789.89,2,0
2024-12-23,ST002,SKU0001,52.13,701.09,1518.94,3,0
2024-12-30,ST002,SKU0001,42.95,577.62,1251.43,4,0
2025-01-06,ST002,SKU0001,35.75,480.84,1041.77,5,0
2025-01-13,ST002,SKU0001,28.35,381.37,826.25,6,0
2025-01-20,ST002,SKU0001,21.22,285.46,618.46,7,0
2025-01-27,ST002,SKU0001,14.18,190.71,413.18,8,0
2025-02-03,ST002,SKU0001,68.79,925.16,2004.41,1,61
2025-02-10,ST002,SKU0001,61.87,832.11,1802.81,2,0
2025-02-17,ST002,SKU0001,53.55,720.19,1560.31,3,0
2025-02-24,ST002,SKU0001,47.19,634.66,1375.01,4,0
2025-03-03,ST002,SKU0001,39.19,527.05,1141.88,5,0
2025-03-10,ST002,SKU0001,31.78,427.48,926.14,6,0
2025-03-17,ST002,SKU0001,24.0,322.85,699.46,7,0
2025-03-24,ST002,SKU0001,17.94,241.24,522.66,8,0
2025-03-31,ST002,SKU0001,71.71,964.56,2089.77,1,61
2025-04-07,ST002,SKU0001,64.96,873.71,1892.94,2,0
2025-04-14,ST002,SKU0001,58.17,782.41,1695.13,3,0
2025-04-21,ST002,SKU0001,49.94,671.64,1455.13,4,0
2025-04-28,ST002,SKU0001,43.13,580.16,1256.95,5,0
2025-05-05,ST002,SKU0001,35.89,482.67,1045.72,6,0
2025-05-12,ST002,SKU0001,30.36,408.37,884.74,7,0
2025-05-19,ST002,SKU0001,21.91,294.7,638.48,8,0
2025-05-26,ST002,SKU0001,75.19,1011.24,2190.9,1,61
2025-06-02,ST002,SKU0001,68.24,917.78,1988.42,2,0
2025-06-09,ST002,SKU0001,61.52,827.41,1792.62,3,0
2025-06-16,ST002,SKU0001,54.03,726.68,1574.38,4,0
2025-06-23,ST002,SKU0001,46.04,619.23,1341.58,5,0
2025-06-30,ST002,SKU0001,37.57,505.37,1094.91,6,0
2025-07-07,ST002,SKU0001,29.88,401.87,870.67,7,0
2025-07-14,ST002,SKU0001,22.82,306.97,665.06,8,0
2025-07-21,ST002,SKU0001,75.99,1022.09,2214.39,1,61
2025-07-28,ST002,SKU0001,68.33,919.1,1991.26,2,0
2025-08-04,ST002,SKU0001,60.35,811.71,1758.62,3,0
2025-08-11,ST002,SKU0001,51.82,697.0,1510.07,4,0
2025-08-18,ST002,SKU0001,46.14,620.61,1344.57,5,0
2025-08-25,ST002,SKU0001,40.13,539.7,1169.28,6,0
2025-09-01,ST002,SKU0001,31.86,428.47,928.31,7,0
2025-09-08,ST002,SKU0001,25.44,342.22,741.43,8,0
2025-09-15,ST002,SKU0001,79.42,1068.15,2314.19,1,61
2025-09-22,ST002,SKU0001,72.98,981.58,2126.64,2,0
2025-09-29,ST002,SKU0001,65.01,874.38,1894.38,3,0
2025-10-06,ST002,SKU0001,59.93,806.12,1746.49,4,0
2025-10-13,ST002,SKU0001,52.87,711.15,1540.74,5,0
2025-10-20,ST002,SKU0001,44.52,598.74,1297.2,6,0
2025-10-27,ST002,SKU0001,38.01,511.27,1107.69,7,0
2025-11-03,ST002,SKU0001,32.34,434.99,942.42,8,0
2025-11-10,ST002,SKU0001,86.03,1157.13,2506.97,1,61
2025-11-17,ST002,SKU0001,79.51,1069.43,2316.96,2,0
2025-11-24,ST002,SKU0001,71.61,963.21,2086.83,3,0
2025-12-01,ST002,SKU0001,61.9,832.53,1803.71,4,0
2025-12-08,ST002,SKU0001,53.43,718.6,1556.87,5,0
2025-12-15,ST002,SKU0001,44.15,593.82,1286.53,6,0
2025-12-22,ST002,SKU0001,33.57,451.47,978.12,7,0
2025-12-29,ST002,SKU0001,24.26,326.27,706.88,8,0
2026-01-05,ST002,SKU0001,78.88,1060.97,2298.64,1,61
2026-01-12,ST002,SKU0001,71.71,964.54,2089.71,2,0
2026-01-19,ST002,SKU0001,64.7,870.26,1885.45,3,0
2026-01-26,ST002,SKU0001,56.98,766.43,1660.5,4,0
2026-02-02,ST002,SKU0001,49.52,666.02,1442.95,5,0
2026-02-09,ST002,SKU0001,42.69,574.18,1244.0,6,0
2026-02-16,ST002,SKU0001,34.34,461.91,1000.75,7,0
2026-02-23,ST002,SKU0001,27.25,366.54,794.13,8,0
2026-03-02,ST002,SKU0001,82.6,1110.94,2406.91,1,61
2026-03-09,ST002,SKU0001,76.94,1034.88,2242.12,2,0
2026-03-16,ST002,SKU0001,69.57,935.77,2027.38,3,0
2026-03-23,ST002,SKU0001,62.34,838.5,1816.64,4,0
2026-03-30,ST002,SKU0001,57.28,770.45,1669.2,5,0
2026-04-06,ST002,SKU0001,50.68,681.63,1476.77,6,0
2026-04-13,ST002,SKU0001,43.09,579.55,1255.61,7,0
2026-04-20,ST002,SKU0001,35.45,476.81,1033.02,8,0
2026-04-27,ST002,SKU0001,89.01,1197.12,2593.61,1,61
