work_order_id,plant_id,plant_name,department,date_key,planned_units,actual_units_produced,good_units,defect_units,scrap_units,available_hours,downtime_hours,labor_hours,material_cost,labor_cost,overhead_cost,manufacturing_cost_total,on_time_completion_flag
WO00001,SUP01,Plant A,Menswear,2024-07-01,1527,1410,1359,51,17,40.0,1.4,42.2,9564.62,470.29,1806.28,11841.19,True
WO00002,SUP01,Plant A,Menswear,2024-07-08,1424,1185,1155,30,18,40.0,5.3,34.3,6140.33,350.49,1168.35,7659.17,False
WO00003,SUP01,Plant A,Menswear,2024-07-15,1544,1286,1265,21,14,40.0,3.4,39.5,8790.0,346.75,1644.62,10781.37,True
WO00004,SUP01,Plant A,Menswear,2024-07-22,1294,1086,1031,55,37,40.0,4.3,34.4,6093.96,339.81,1158.08,7591.85,True
WO00005,SUP01,Plant A,Menswear,2024-07-29,1321,1108,1072,36,17,40.0,1.8,40.7,7313.68,376.45,1384.22,9074.35,True
WO00006,SUP01,Plant A,Menswear,2024-08-05,1537,1297,1252,45,16,40.0,3.7,34.1,5865.15,380.14,1124.15,7369.44,True
WO00007,SUP01,Plant A,Menswear,2024-08-12,1505,1252,1231,21,7,40.0,2.9,34.3,8144.52,339.03,1527.04,10010.59,True
WO00008,SUP01,Plant A,Menswear,2024-08-19,1524,1308,1265,43,18,40.0,3.8,32.8,7599.68,290.55,1420.24,9310.47,True
WO00009,SUP01,Plant A,Menswear,2024-08-26,1553,1315,1275,40,16,40.0,1.2,40.0,8114.99,445.42,1540.87,10101.28,True
WO00010,SUP01,Plant A,Menswear,2024-09-02,1410,1112,1090,22,7,40.0,4.4,37.2,6544.82,321.6,1235.96,8102.38,True
WO00011,SUP01,Plant A,Menswear,2024-09-09,1328,1126,1100,26,10,40.0,4.4,36.5,6289.2,304.8,1186.92,7780.92,False
WO00012,SUP01,Plant A,Menswear,2024-09-16,1587,1238,1213,25,17,40.0,4.3,37.7,8233.53,369.36,1548.52,10151.41,True
WO00013,SUP01,Plant A,Menswear,2024-09-23,1310,1171,1166,5,2,40.0,2.8,37.8,5890.5,431.92,1138.04,7460.46,True
WO00014,SUP01,Plant A,Menswear,2024-09-30,1510,1252,1197,55,30,40.0,4.0,33.0,7195.77,269.49,1343.75,8809.01,True
WO00015,SUP01,Plant A,Menswear,2024-10-07,1385,1230,1217,13,4,40.0,4.2,38.8,7679.12,364.23,1447.8,9491.15,True
WO00016,SUP01,Plant A,Menswear,2024-10-14,1287,1103,1072,31,10,40.0,0.6,39.3,6587.25,461.83,1268.83,8317.91,True
WO00017,SUP01,Plant A,Menswear,2024-10-21,1431,1131,1109,22,10,40.0,4.0,32.5,7893.11,376.5,1488.53,9758.14,True
WO00018,SUP01,Plant A,Menswear,2024-10-28,1457,1300,1269,31,18,40.0,0.2,42.0,6270.19,489.89,1216.81,7976.89,True
WO00019,SUP01,Plant A,Menswear,2024-11-04,1291,1224,1206,18,11,40.0,2.0,36.6,9007.05,335.39,1681.64,11024.08,True
WO00020,SUP01,Plant A,Menswear,2024-11-11,1361,1212,1189,23,10,40.0,2.2,41.5,8696.14,456.27,1647.43,10799.84,True
WO00021,SUP01,Plant A,Menswear,2024-11-18,1565,1385,1347,38,21,40.0,4.1,35.0,6625.01,384.55,1261.72,8271.28,True
WO00022,SUP01,Plant A,Menswear,2024-11-25,1579,1548,1478,70,25,40.0,0.8,36.7,9749.53,421.99,1830.87,12002.39,True
WO00023,SUP01,Plant A,Menswear,2024-12-02,1379,1092,1065,27,9,40.0,4.8,31.8,5666.35,271.17,1068.75,7006.27,True
WO00024,SUP01,Plant A,Menswear,2024-12-09,1318,1058,1048,10,3,40.0,3.4,38.8,7031.7,425.09,1342.22,8799.01,True
WO00025,SUP01,Plant A,Menswear,2024-12-16,1319,1049,1027,22,10,40.0,4.5,36.7,7727.85,335.65,1451.43,9514.93,True
WO00026,SUP01,Plant A,Menswear,2024-12-23,1287,1076,1064,12,4,40.0,4.0,35.4,7961.0,367.6,1499.15,9827.75,True
WO00027,SUP01,Plant A,Menswear,2024-12-30,1537,1349,1311,38,13,40.0,0.6,42.0,9295.22,375.08,1740.65,11410.95,True
WO00028,SUP01,Plant A,Menswear,2025-01-06,1473,1211,1183,28,18,40.0,2.4,37.2,6349.9,332.82,1202.89,7885.61,True
WO00029,SUP01,Plant A,Menswear,2025-01-13,1541,1018,998,20,7,40.0,9.3,32.7,5528.76,280.42,1045.65,6854.83,True
WO00030,SUP01,Plant A,Menswear,2025-01-20,1332,1132,1123,9,2,40.0,2.7,33.9,5687.08,278.44,1073.79,7039.31,True
WO00031,SUP01,Plant A,Menswear,2025-01-27,1497,1269,1237,32,20,40.0,3.8,38.7,5876.01,337.7,1118.47,7332.18,True
WO00032,SUP01,Plant A,Menswear,2025-02-03,1359,1064,1048,16,7,40.0,6.6,33.5,5112.54,379.68,988.6,6480.82,False
WO00033,SUP01,Plant A,Menswear,2025-02-10,1575,1521,1475,46,31,40.0,0.0,42.4,10401.26,448.17,1952.9,12802.33,True
WO00034,SUP01,Plant A,Menswear,2025-02-17,1323,1135,1087,48,23,40.0,3.0,36.2,7285.21,328.18,1370.41,8983.8,True
WO00035,SUP01,Plant A,Menswear,2025-02-24,1432,1283,1275,8,3,40.0,4.2,34.6,7234.06,371.71,1369.04,8974.81,True
WO00036,SUP01,Plant A,Menswear,2025-03-03,1583,1398,1344,54,27,40.0,4.7,37.8,9027.95,424.02,1701.35,11153.32,True
WO00037,SUP01,Plant A,Menswear,2025-03-10,1482,1361,1347,14,8,40.0,2.1,40.6,6663.88,424.58,1275.92,8364.38,False
WO00038,SUP01,Plant A,Menswear,2025-03-17,1512,1114,1088,26,17,40.0,5.0,37.1,6997.09,412.94,1333.81,8743.84,True
WO00039,SUP01,Plant A,Menswear,2025-03-24,1582,1238,1218,20,10,40.0,3.6,34.0,7669.23,349.85,1443.43,9462.51,True
WO00040,SUP01,Plant A,Menswear,2025-03-31,1447,1237,1183,54,29,40.0,3.6,39.5,6010.83,334.5,1142.16,7487.49,False
WO00041,SUP01,Plant A,Menswear,2025-04-07,1490,1155,1115,40,17,40.0,5.2,37.6,7839.67,341.49,1472.61,9653.77,True
WO00042,SUP01,Plant A,Menswear,2025-04-14,1380,1192,1148,44,20,40.0,3.2,35.9,7973.36,366.61,1501.19,9841.16,True
WO00043,SUP01,Plant A,Menswear,2025-04-21,1529,1224,1174,50,29,40.0,5.2,38.0,5943.05,433.28,1147.74,7524.07,True
WO00044,SUP01,Plant A,Menswear,2025-04-28,1319,984,959,25,12,40.0,6.7,35.5,5299.9,349.11,1016.82,6665.83,True
WO00045,SUP01,Plant A,Menswear,2025-05-05,1376,1138,1129,9,6,40.0,4.5,38.1,6090.26,432.34,1174.07,7696.67,False
WO00046,SUP01,Plant A,Menswear,2025-05-12,1599,1401,1354,47,30,40.0,2.2,34.3,7316.7,294.02,1369.93,8980.65,True
WO00047,SUP01,Plant A,Menswear,2025-05-19,1343,1184,1159,25,7,40.0,2.7,33.9,7480.25,379.88,1414.82,9274.95,True
WO00048,SUP01,Plant A,Menswear,2025-05-26,1551,1405,1375,30,18,40.0,2.1,39.4,9854.59,321.53,1831.7,12007.82,True
WO00049,SUP01,Plant A,Menswear,2025-06-02,1319,1195,1164,31,19,40.0,3.3,34.2,8011.12,300.01,1496.0,9807.13,True
WO00050,SUP01,Plant A,Menswear,2025-06-09,1507,1059,1028,31,16,40.0,6.9,30.0,7574.43,325.15,1421.92,9321.5,True
WO00051,SUP01,Plant A,Menswear,2025-06-16,1309,1065,1047,18,11,40.0,2.4,38.6,6621.36,331.21,1251.46,8204.03,True
WO00052,SUP01,Plant A,Menswear,2025-06-23,1376,1321,1294,27,18,40.0,0.5,36.7,7959.1,352.91,1496.16,9808.17,True
WO00053,SUP01,Plant A,Menswear,2025-06-30,1318,1111,1069,42,19,40.0,3.6,37.2,7114.72,358.88,1345.25,8818.85,True
WO00054,SUP01,Plant A,Menswear,2025-07-07,1349,1165,1143,22,10,40.0,0.0,39.8,6030.95,409.54,1159.29,7599.78,True
WO00055,SUP01,Plant A,Menswear,2025-07-14,1504,1295,1254,41,25,40.0,2.9,37.4,7503.56,392.85,1421.35,9317.76,True
WO00056,SUP01,Plant A,Menswear,2025-07-21,1444,1122,1087,35,17,40.0,6.4,33.8,7741.36,312.91,1449.77,9504.04,True
WO00057,SUP01,Plant A,Menswear,2025-07-28,1438,1208,1163,45,14,40.0,4.7,33.7,6646.89,292.92,1249.17,8188.98,True
WO00058,SUP01,Plant A,Menswear,2025-08-04,1517,1156,1148,8,3,40.0,2.8,34.6,7285.71,293.36,1364.23,8943.3,True
WO00059,SUP01,Plant A,Menswear,2025-08-11,1586,1182,1161,21,12,40.0,8.3,33.0,6694.29,348.6,1267.72,8310.61,False
WO00060,SUP01,Plant A,Menswear,2025-08-18,1346,1148,1129,19,12,40.0,4.2,39.3,7080.76,446.3,1354.87,8881.93,True
WO00061,SUP01,Plant A,Menswear,2025-08-25,1325,1002,960,42,25,40.0,6.3,33.2,5919.8,285.61,1116.97,7322.38,True
WO00062,SUP01,Plant A,Menswear,2025-09-01,1570,1175,1137,38,18,40.0,4.4,36.2,7026.35,301.78,1319.06,8647.19,True
WO00063,SUP01,Plant A,Menswear,2025-09-08,1549,1270,1243,27,16,40.0,4.0,32.8,7111.78,333.19,1340.09,8785.06,True
WO00064,SUP01,Plant A,Menswear,2025-09-15,1550,1281,1218,63,31,40.0,4.6,38.3,8020.82,436.66,1522.35,9979.83,True
WO00065,SUP01,Plant A,Menswear,2025-09-22,1439,1182,1154,28,18,40.0,2.5,38.5,5948.44,360.18,1135.55,7444.17,True
WO00066,SUP01,Plant A,Menswear,2025-09-29,1287,1152,1121,31,16,40.0,2.2,34.1,6144.84,368.69,1172.44,7685.97,True
WO00067,SUP01,Plant A,Menswear,2025-10-06,1594,1324,1295,29,19,40.0,6.2,35.3,9783.87,392.82,1831.8,12008.49,True
WO00068,SUP01,Plant A,Menswear,2025-10-13,1316,920,907,13,7,40.0,7.5,35.6,6857.44,325.84,1292.99,8476.27,True
WO00069,SUP01,Plant A,Menswear,2025-10-20,1519,1187,1176,11,6,40.0,2.7,37.3,8851.01,367.77,1659.38,10878.16,True
WO00070,SUP01,Plant A,Menswear,2025-10-27,1411,1306,1284,22,13,40.0,2.3,40.9,9099.88,333.25,1697.96,11131.09,True
WO00071,SUP01,Plant A,Menswear,2025-11-03,1295,1163,1154,9,5,40.0,1.4,41.4,7813.38,463.82,1489.9,9767.1,False
WO00072,SUP01,Plant A,Menswear,2025-11-10,1355,1021,996,25,12,40.0,6.4,34.8,4685.19,334.27,903.5,5922.96,True
WO00073,SUP01,Plant A,Menswear,2025-11-17,1494,1151,1100,51,32,40.0,1.4,37.0,7217.88,354.75,1363.07,8935.7,True
WO00074,SUP01,Plant A,Menswear,2025-11-24,1563,1436,1392,44,25,40.0,1.3,41.1,10764.59,377.52,2005.58,13147.69,True
WO00075,SUP01,Plant A,Menswear,2025-12-01,1323,972,946,26,17,40.0,4.7,35.2,4765.81,333.05,917.79,6016.65,False
WO00076,SUP01,Plant A,Menswear,2025-12-08,1344,1056,1028,28,12,40.0,4.1,35.3,7790.77,388.58,1472.28,9651.63,True
WO00077,SUP01,Plant A,Menswear,2025-12-15,1371,1048,1043,5,3,40.0,3.3,36.9,7049.85,382.39,1337.8,8770.04,True
WO00078,SUP01,Plant A,Menswear,2025-12-22,1375,1293,1256,37,24,40.0,0.9,37.4,7996.52,417.68,1514.56,9928.76,True
WO00079,SUP01,Plant A,Menswear,2025-12-29,1420,1229,1206,23,14,40.0,4.8,38.1,8434.34,333.02,1578.12,10345.48,True
WO00080,SUP01,Plant A,Menswear,2026-01-05,1312,1103,1072,31,14,40.0,2.6,33.9,8139.39,285.17,1516.42,9940.98,False
WO00081,SUP01,Plant A,Menswear,2026-01-12,1358,1140,1115,25,10,40.0,1.6,35.0,5511.67,333.83,1052.19,6897.69,False
WO00082,SUP01,Plant A,Menswear,2026-01-19,1503,1364,1334,30,13,40.0,1.7,34.5,6596.59,395.06,1258.5,8250.15,False
WO00083,SUP01,Plant A,Menswear,2026-01-26,1442,1181,1142,39,23,40.0,1.1,41.6,6236.91,386.46,1192.21,7815.58,True
WO00084,SUP01,Plant A,Menswear,2026-02-02,1433,1364,1326,38,25,40.0,1.7,34.9,8023.47,378.53,1512.36,9914.36,True
WO00085,SUP01,Plant A,Menswear,2026-02-09,1295,1114,1085,29,10,40.0,3.1,33.4,5382.72,350.05,1031.9,6764.67,True
WO00086,SUP01,Plant A,Menswear,2026-02-16,1462,1164,1134,30,19,40.0,1.5,39.5,5806.3,438.12,1124.0,7368.42,True
WO00087,SUP01,Plant A,Menswear,2026-02-23,1361,1097,1043,54,37,40.0,2.9,36.1,7612.61,334.78,1430.53,9377.92,True
WO00088,SUP01,Plant A,Menswear,2026-03-02,1472,1190,1150,40,13,40.0,6.0,30.8,6591.93,248.75,1231.32,8072.0,True
WO00089,SUP01,Plant A,Menswear,2026-03-09,1512,1252,1201,51,33,40.0,6.9,33.8,6107.35,289.83,1151.49,7548.67,True
WO00090,SUP01,Plant A,Menswear,2026-03-16,1335,1037,1012,25,7,40.0,3.6,40.0,6485.31,340.31,1228.61,8054.23,True
WO00091,SUP01,Plant A,Menswear,2026-03-23,1561,1247,1219,28,8,40.0,3.1,37.6,6714.18,400.61,1280.66,8395.45,True
WO00092,SUP01,Plant A,Menswear,2026-03-30,1285,1078,1038,40,16,40.0,5.5,35.3,6641.15,338.34,1256.31,8235.8,True
WO00093,SUP01,Plant A,Menswear,2026-04-06,1512,1184,1173,11,5,40.0,5.7,34.4,5372.29,384.73,1036.26,6793.28,True
WO00094,SUP01,Plant A,Menswear,2026-04-13,1410,1245,1220,25,14,40.0,2.2,35.1,9193.89,305.85,1709.95,11209.69,True
WO00095,SUP01,Plant A,Menswear,2026-04-20,1554,1200,1200,0,0,40.0,4.1,38.6,6764.59,388.63,1287.58,8440.8,True
WO00096,SUP01,Plant A,Menswear,2026-04-27,1513,1348,1333,15,9,40.0,4.3,38.3,9293.51,321.7,1730.74,11345.95,True
WO00097,SUP01,Plant A,Menswear,2026-05-04,1517,1409,1374,35,20,40.0,2.8,40.1,8008.6,371.99,1508.51,9889.1,True
WO00098,SUP01,Plant A,Menswear,2026-05-11,1465,1344,1317,27,13,40.0,2.1,35.6,7568.89,340.92,1423.77,9333.58,True
WO00099,SUP01,Plant A,Menswear,2026-05-18,1332,977,945,32,12,40.0,4.3,32.8,6605.02,377.99,1256.94,8239.95,True
WO00100,SUP01,Plant A,Menswear,2026-05-25,1344,1184,1163,21,8,40.0,0.8,35.6,7038.26,421.41,1342.74,8802.41,True
WO00101,SUP01,Plant A,Menswear,2026-06-01,1438,1322,1293,29,17,40.0,0.0,43.0,9524.91,513.35,1806.89,11845.15,True
WO00102,SUP01,Plant A,Menswear,2026-06-08,1584,1431,1374,57,29,40.0,1.3,35.6,10070.51,372.63,1879.77,12322.91,True
WO00103,SUP01,Plant A,Menswear,2026-06-15,1332,1096,1055,41,21,40.0,3.6,38.1,5905.36,361.38,1128.01,7394.75,True
WO00104,SUP01,Plant A,Menswear,2026-06-22,1523,1400,1376,24,8,40.0,3.2,39.7,6721.66,359.61,1274.63,8355.9,True
WO00105,SUP01,Plant A,Womenswear,2024-07-01,1337,1131,1112,19,11,40.0,4.3,38.2,8056.93,357.45,1514.59,9928.97,True
WO00106,SUP01,Plant A,Womenswear,2024-07-08,1359,1228,1211,17,11,40.0,0.0,42.2,7433.07,420.41,1413.63,9267.11,True
WO00107,SUP01,Plant A,Womenswear,2024-07-15,1451,1238,1207,31,21,40.0,3.0,36.8,9111.21,318.48,1697.34,11127.03,True
WO00108,SUP01,Plant A,Womenswear,2024-07-22,1346,1193,1151,42,28,40.0,3.3,35.4,7544.99,349.05,1420.93,9314.97,True
WO00109,SUP01,Plant A,Womenswear,2024-07-29,1450,1004,975,29,17,40.0,4.2,35.6,4978.47,415.9,970.99,6365.36,True
WO00110,SUP01,Plant A,Womenswear,2024-08-05,1296,979,929,50,30,40.0,6.2,35.7,5028.01,417.52,980.2,6425.73,True
WO00111,SUP01,Plant A,Womenswear,2024-08-12,1484,1155,1130,25,8,40.0,3.4,36.3,5644.59,312.52,1072.28,7029.39,True
WO00112,SUP01,Plant A,Womenswear,2024-08-19,1405,1077,1064,13,6,40.0,4.7,36.4,6784.12,360.04,1285.95,8430.11,True
WO00113,SUP01,Plant A,Womenswear,2024-08-26,1389,1197,1162,35,11,40.0,4.0,35.7,8591.42,392.65,1617.13,10601.2,True
