trading_year,trading_period,period_start,chain_code,chain_name,department,opening_stock_cost,planned_sales_cost,planned_markdown_cost,planned_receipts_cost,committed_receipts_cost,otb_value,planned_closing_stock_cost
TY1,P01,2024-07-01,MER,Meridian Fashion,Menswear,121524.49,50201.96,3606.61,46363.74,38900.57,7463.17,114079.66
TY1,P02,2024-07-29,MER,Meridian Fashion,Menswear,114079.66,50266.14,3878.73,46849.47,28234.94,18614.53,106784.26
TY1,P03,2024-08-26,MER,Meridian Fashion,Menswear,106784.26,50708.17,4340.92,53799.66,41438.8,12360.86,105534.83
TY1,P04,2024-09-23,MER,Meridian Fashion,Menswear,105534.83,50945.24,2222.96,52914.08,22685.21,30228.87,105280.71
TY1,P05,2024-10-21,MER,Meridian Fashion,Menswear,105280.71,51392.77,3489.56,55993.55,31330.45,24663.1,106391.93
TY1,P06,2024-11-18,MER,Meridian Fashion,Menswear,106391.93,52021.07,4348.3,56942.05,27764.23,29177.82,106964.61
TY1,P07,2024-12-16,MER,Meridian Fashion,Menswear,106964.61,52297.98,1706.39,49085.44,34721.67,14363.77,102045.68
TY1,P08,2025-01-13,MER,Meridian Fashion,Menswear,102045.68,53418.02,4703.49,52427.45,29711.0,22716.45,96351.62
TY1,P09,2025-02-10,MER,Meridian Fashion,Menswear,96351.62,53747.06,2223.42,50118.08,30775.87,19342.21,90499.22
TY1,P10,2025-03-10,MER,Meridian Fashion,Menswear,90499.22,53303.93,3741.34,53799.02,41678.38,12120.64,87252.97
TY1,P11,2025-04-07,MER,Meridian Fashion,Menswear,87252.97,52679.63,2567.71,58372.45,44488.21,13884.24,90378.08
TY1,P12,2025-05-05,MER,Meridian Fashion,Menswear,90378.08,52741.1,2494.64,56465.88,26137.41,30328.47,91608.22
TY1,P13,2025-06-02,MER,Meridian Fashion,Menswear,91608.22,53099.17,1616.43,58235.51,40717.27,17518.24,95128.13
TY2,P01,2025-06-30,MER,Meridian Fashion,Menswear,95128.13,52325.43,4020.88,53096.13,34827.53,18268.6,91877.95
TY2,P02,2025-07-28,MER,Meridian Fashion,Menswear,91877.95,52181.46,1924.02,55682.87,34077.54,21605.33,93455.34
TY2,P03,2025-08-25,MER,Meridian Fashion,Menswear,93455.34,51303.32,3893.92,54313.78,35255.66,19058.12,92571.88
TY2,P04,2025-09-22,MER,Meridian Fashion,Menswear,92571.88,51668.2,2492.32,46899.46,27976.6,18922.86,85310.82
TY2,P05,2025-10-20,MER,Meridian Fashion,Menswear,85310.82,52111.5,2840.69,58018.38,29315.11,28703.27,88377.01
TY2,P06,2025-11-17,MER,Meridian Fashion,Menswear,88377.01,51632.36,2420.68,50258.86,35073.77,15185.09,84582.83
