po_id,supplier_id,product_id,department,order_date,promised_date,actual_delivery_date,ordered_qty,received_qty,ordered_cost,on_time_flag,in_full_flag,otif_flag
PO00001,SUP01,SKU0001,Menswear,2024-07-01,2024-07-22,2024-07-16,116,116,1560.2,True,True,True
PO00002,SUP01,SKU0001,Menswear,2024-07-22,2024-08-12,2024-08-03,113,110,1519.85,True,True,True
PO00003,SUP01,SKU0001,Menswear,2024-08-12,2024-09-02,2024-08-29,115,114,1546.75,True,True,True
PO00004,SUP01,SKU0001,Menswear,2024-09-02,2024-09-23,2024-09-23,102,102,1371.9,True,True,True
PO00005,SUP01,SKU0001,Menswear,2024-09-23,2024-10-14,2024-10-14,111,111,1492.95,True,True,True
PO00006,SUP01,SKU0001,Menswear,2024-10-14,2024-11-04,2024-11-03,93,91,1250.85,True,True,True
PO00007,SUP01,SKU0001,Menswear,2024-11-04,2024-11-25,2024-11-22,118,116,1587.1,True,True,True
PO00008,SUP01,SKU0001,Menswear,2024-11-25,2024-12-16,2024-12-17,98,97,1318.1,False,True,False
PO00009,SUP01,SKU0001,Menswear,2024-12-16,2025-01-06,2025-01-02,116,116,1560.2,True,True,True
PO00010,SUP01,SKU0001,Menswear,2025-01-06,2025-01-27,2025-01-26,85,85,1143.25,True,True,True
PO00011,SUP01,SKU0001,Menswear,2025-01-27,2025-02-17,2025-02-13,115,113,1546.75,True,True,True
PO00012,SUP01,SKU0001,Menswear,2025-02-17,2025-03-10,2025-03-10,99,99,1331.55,True,True,True
PO00013,SUP01,SKU0001,Menswear,2025-03-10,2025-03-31,2025-03-26,89,87,1197.05,True,True,True
PO00014,SUP01,SKU0001,Menswear,2025-03-31,2025-04-21,2025-04-21,112,112,1506.4,True,True,True
PO00015,SUP01,SKU0001,Menswear,2025-04-21,2025-05-12,2025-05-10,118,117,1587.1,True,True,True
PO00016,SUP01,SKU0001,Menswear,2025-05-12,2025-06-02,2025-06-02,96,95,1291.2,True,True,True
PO00017,SUP01,SKU0001,Menswear,2025-06-02,2025-06-23,2025-06-21,92,91,1237.4,True,True,True
PO00018,SUP01,SKU0001,Menswear,2025-06-23,2025-07-14,2025-07-06,111,109,1492.95,True,True,True
PO00019,SUP01,SKU0001,Menswear,2025-07-14,2025-08-04,2025-07-30,103,102,1385.35,True,True,True
PO00020,SUP01,SKU0001,Menswear,2025-08-04,2025-08-25,2025-08-19,88,88,1183.6,True,True,True
PO00021,SUP01,SKU0001,Menswear,2025-08-25,2025-09-15,2025-09-11,107,106,1439.15,True,True,True
PO00022,SUP01,SKU0001,Menswear,2025-09-15,2025-10-06,2025-10-06,107,107,1439.15,True,True,True
PO00023,SUP01,SKU0001,Menswear,2025-10-06,2025-10-27,2025-10-23,85,85,1143.25,True,True,True
PO00024,SUP01,SKU0001,Menswear,2025-10-27,2025-11-17,2025-11-10,101,98,1358.45,True,True,True
PO00025,SUP01,SKU0001,Menswear,2025-11-17,2025-12-08,2025-12-07,86,85,1156.7,True,True,True
PO00026,SUP01,SKU0001,Menswear,2025-12-08,2025-12-29,2025-12-25,111,110,1492.95,True,True,True
PO00027,SUP01,SKU0001,Menswear,2025-12-29,2026-01-19,2026-01-15,111,111,1492.95,True,True,True
PO00028,SUP01,SKU0001,Menswear,2026-01-19,2026-02-09,2026-02-05,91,90,1223.95,True,True,True
PO00029,SUP01,SKU0001,Menswear,2026-02-09,2026-03-02,2026-03-01,114,112,1533.3,True,True,True
PO00030,SUP01,SKU0001,Menswear,2026-03-02,2026-03-23,2026-03-22,105,105,1412.25,True,True,True
PO00031,SUP01,SKU0001,Menswear,2026-03-23,2026-04-13,2026-04-10,102,100,1371.9,True,True,True
PO00032,SUP01,SKU0001,Menswear,2026-04-13,2026-05-04,2026-04-26,110,107,1479.5,True,True,True
PO00033,SUP01,SKU0001,Menswear,2026-05-04,2026-05-25,2026-05-19,88,88,1183.6,True,True,True
PO00034,SUP01,SKU0001,Menswear,2026-05-25,2026-06-15,2026-06-11,113,113,1519.85,True,True,True
PO00035,SUP01,SKU0001,Menswear,2026-06-15,2026-07-06,2026-07-06,116,113,1560.2,True,True,True
PO00036,SUP01,SKU0002,Menswear,2024-07-01,2024-07-22,2024-07-16,68,67,892.84,True,True,True
PO00037,SUP01,SKU0002,Menswear,2024-07-22,2024-08-12,2024-08-03,73,73,958.49,True,True,True
PO00038,SUP01,SKU0002,Menswear,2024-08-12,2024-09-02,2024-08-28,77,75,1011.01,True,True,True
PO00039,SUP01,SKU0002,Menswear,2024-09-02,2024-09-23,2024-09-19,82,81,1076.66,True,True,True
PO00040,SUP01,SKU0002,Menswear,2024-09-23,2024-10-14,2024-10-16,78,77,1024.14,False,True,False
PO00041,SUP01,SKU0002,Menswear,2024-10-14,2024-11-04,2024-11-02,62,62,814.06,True,True,True
PO00042,SUP01,SKU0002,Menswear,2024-11-04,2024-11-25,2024-11-25,74,74,971.62,True,True,True
PO00043,SUP01,SKU0002,Menswear,2024-11-25,2024-12-16,2024-12-09,63,62,827.19,True,True,True
PO00044,SUP01,SKU0002,Menswear,2024-12-16,2025-01-06,2025-01-02,87,84,1142.31,True,True,True
PO00045,SUP01,SKU0002,Menswear,2025-01-06,2025-01-27,2025-01-24,77,75,1011.01,True,True,True
PO00046,SUP01,SKU0002,Menswear,2025-01-27,2025-02-17,2025-02-16,74,74,971.62,True,True,True
