date_key,store_id,product_id,units_sold,gross_sales_value,discount_value,net_sales_value,cogs_value,cash_sales_value,credit_sales_value,cash_transactions,credit_transactions
2024-07-01,ST001,SKU0001,7.26,211.44,0.0,211.44,97.59,75.7,135.74,1.62,2.91
2024-07-08,ST001,SKU0001,7.63,222.35,0.0,222.35,102.63,101.63,120.72,2.18,2.59
2024-07-15,ST001,SKU0001,5.36,156.22,0.0,156.22,72.11,53.89,102.34,1.16,2.19
2024-07-22,ST001,SKU0001,7.11,207.11,0.0,207.11,95.59,81.65,125.46,1.75,2.69
2024-07-29,ST001,SKU0001,6.99,203.57,0.0,203.57,93.96,74.79,128.78,1.6,2.76
2024-08-05,ST001,SKU0001,7.74,225.51,0.0,225.51,104.09,101.24,124.27,2.17,2.67
2024-08-12,ST001,SKU0001,7.06,205.6,0.0,205.6,94.9,95.89,109.71,2.06,2.35
2024-08-19,ST001,SKU0001,7.39,215.42,0.0,215.42,99.43,79.08,136.35,1.7,2.92
2024-08-26,ST001,SKU0001,7.31,213.01,0.0,213.01,98.32,77.13,135.88,1.65,2.91
2024-09-02,ST001,SKU0001,7.74,225.48,0.0,225.48,104.07,91.89,133.59,1.97,2.87
2024-09-09,ST001,SKU0001,6.84,199.46,0.0,199.46,92.06,74.99,124.46,1.61,2.67
2024-09-16,ST001,SKU0001,8.03,233.9,0.0,233.9,107.96,94.1,139.8,2.02,3.0
2024-09-23,ST001,SKU0001,6.64,193.5,0.0,193.5,89.31,75.93,117.56,1.63,2.52
2024-09-30,ST001,SKU0001,7.45,217.01,0.0,217.01,100.16,92.95,124.06,1.99,2.66
2024-10-07,ST001,SKU0001,7.35,214.08,0.0,214.08,98.81,92.39,121.69,1.98,2.61
2024-10-14,ST001,SKU0001,8.8,256.4,0.0,256.4,118.35,99.92,156.48,2.14,3.36
2024-10-21,ST001,SKU0001,6.57,191.44,0.0,191.44,88.36,70.71,120.73,1.52,2.59
2024-10-28,ST001,SKU0001,7.52,219.06,0.0,219.06,101.11,102.19,116.87,2.19,2.51
2024-11-04,ST001,SKU0001,6.9,201.19,0.0,201.19,92.86,74.04,127.15,1.59,2.73
2024-11-11,ST001,SKU0001,6.31,183.8,0.0,183.8,84.84,81.34,102.46,1.74,2.2
2024-11-18,ST001,SKU0001,7.62,222.17,0.0,222.17,102.55,97.13,125.04,2.08,2.68
2024-11-25,ST001,SKU0001,6.44,187.69,0.0,187.69,86.63,79.14,108.55,1.7,2.33
2024-12-02,ST001,SKU0001,9.58,279.23,0.0,279.23,128.88,117.55,161.68,2.52,3.47
2024-12-09,ST001,SKU0001,10.44,304.17,0.0,304.17,140.39,128.12,176.05,2.75,3.78
2024-12-16,ST001,SKU0001,10.22,297.81,0.0,297.81,137.46,123.12,174.69,2.64,3.75
2024-12-23,ST001,SKU0001,9.78,284.93,0.0,284.93,131.51,125.82,159.1,2.7,3.41
2024-12-30,ST001,SKU0001,7.8,227.22,0.0,227.22,104.88,89.54,137.68,1.92,2.95
2025-01-06,ST001,SKU0001,6.6,192.47,0.0,192.47,88.84,72.77,119.7,1.56,2.57
2025-01-13,ST001,SKU0001,6.77,197.25,0.0,197.25,91.04,95.62,101.62,2.05,2.18
2025-01-20,ST001,SKU0001,6.27,182.79,0.0,182.79,84.37,83.8,98.99,1.8,2.12
2025-01-27,ST001,SKU0001,5.59,162.79,0.0,162.79,75.14,64.02,98.76,1.37,2.12
2025-02-03,ST001,SKU0001,7.14,207.96,0.0,207.96,95.99,91.37,116.6,1.96,2.5
2025-02-10,ST001,SKU0001,7.6,221.39,0.0,221.39,102.19,99.56,121.83,2.14,2.61
2025-02-17,ST001,SKU0001,6.71,195.44,0.0,195.44,90.21,75.62,119.82,1.62,2.57
2025-02-24,ST001,SKU0001,7.72,224.98,0.0,224.98,103.84,90.1,134.88,1.93,2.89
2025-03-03,ST001,SKU0001,5.93,172.75,0.0,172.75,79.74,61.05,111.71,1.31,2.4
2025-03-10,ST001,SKU0001,6.23,181.47,0.0,181.47,83.76,78.92,102.55,1.69,2.2
2025-03-17,ST001,SKU0001,7.12,207.47,0.0,207.47,95.76,92.23,115.23,1.98,2.47
2025-03-24,ST001,SKU0001,6.64,193.52,0.0,193.52,89.32,80.89,112.64,1.73,2.42
2025-03-31,ST001,SKU0001,7.53,219.29,0.0,219.29,101.22,86.53,132.77,1.86,2.85
2025-04-07,ST001,SKU0001,7.38,215.16,0.0,215.16,99.31,81.1,134.06,1.74,2.88
2025-04-14,ST001,SKU0001,6.7,195.09,0.0,195.09,90.05,76.27,118.82,1.64,2.55
2025-04-21,ST001,SKU0001,6.0,174.71,0.0,174.71,80.64,75.89,98.82,1.63,2.12
2025-04-28,ST001,SKU0001,6.61,192.49,0.0,192.49,88.85,79.05,113.44,1.7,2.43
2025-05-05,ST001,SKU0001,7.4,215.75,0.0,215.75,99.58,93.28,122.47,2.0,2.63
2025-05-12,ST001,SKU0001,7.56,220.27,0.0,220.27,101.67,89.23,131.03,1.91,2.81
2025-05-19,ST001,SKU0001,6.64,193.62,0.0,193.62,89.37,78.62,115.0,1.69,2.47
2025-05-26,ST001,SKU0001,5.58,162.68,0.0,162.68,75.09,54.93,107.74,1.18,2.31
2025-06-02,ST001,SKU0001,5.89,171.6,0.0,171.6,79.21,61.81,109.8,1.33,2.35
2025-06-09,ST001,SKU0001,7.34,213.77,0.0,213.77,98.67,77.97,135.79,1.67,2.91
2025-06-16,ST001,SKU0001,6.68,194.72,0.0,194.72,89.88,92.49,102.23,1.98,2.19
2025-06-23,ST001,SKU0001,6.7,195.26,0.0,195.26,90.12,87.26,108.0,1.87,2.32
2025-06-30,ST001,SKU0001,6.22,181.13,0.0,181.13,83.6,72.41,108.72,1.55,2.33
2025-07-07,ST001,SKU0001,6.2,180.73,0.0,180.73,83.42,71.04,109.69,1.52,2.35
2025-07-14,ST001,SKU0001,7.71,224.55,0.0,224.55,103.64,72.68,151.87,1.56,3.26
2025-07-21,ST001,SKU0001,7.36,214.61,0.0,214.61,99.06,90.55,124.06,1.94,2.66
2025-07-28,ST001,SKU0001,6.5,189.44,0.0,189.44,87.44,63.98,125.46,1.37,2.69
2025-08-04,ST001,SKU0001,7.06,205.75,0.0,205.75,94.96,78.92,126.83,1.69,2.72
2025-08-11,ST001,SKU0001,7.2,209.68,0.0,209.68,96.78,86.2,123.47,1.85,2.65
2025-08-18,ST001,SKU0001,8.35,243.19,0.0,243.19,112.25,96.81,146.38,2.08,3.14
2025-08-25,ST001,SKU0001,6.14,178.93,0.0,178.93,82.59,74.97,103.96,1.61,2.23
2025-09-01,ST001,SKU0001,7.18,209.36,0.0,209.36,96.64,100.08,109.29,2.15,2.34
2025-09-08,ST001,SKU0001,7.7,224.42,0.0,224.42,103.59,96.03,128.4,2.06,2.75
2025-09-15,ST001,SKU0001,8.23,239.8,0.0,239.8,110.68,84.07,155.73,1.8,3.34
2025-09-22,ST001,SKU0001,6.46,188.32,0.0,188.32,86.92,68.49,119.83,1.47,2.57
2025-09-29,ST001,SKU0001,6.67,194.44,0.0,194.44,89.75,66.34,128.1,1.42,2.75
2025-10-06,ST001,SKU0001,7.53,219.53,0.0,219.53,101.33,87.57,131.95,1.88,2.83
2025-10-13,ST001,SKU0001,5.76,167.98,0.0,167.98,77.53,60.35,107.63,1.29,2.31
2025-10-20,ST001,SKU0001,7.26,211.65,0.0,211.65,97.69,95.66,116.0,2.05,2.49
2025-10-27,ST001,SKU0001,8.68,252.86,0.0,252.86,116.71,140.52,112.34,3.01,2.41
2025-11-03,ST001,SKU0001,7.35,214.12,0.0,214.12,98.83,77.2,136.92,1.66,2.94
2025-11-10,ST001,SKU0001,5.21,151.79,0.0,151.79,70.06,64.27,87.52,1.38,1.88
2025-11-17,ST001,SKU0001,6.32,184.08,0.0,184.08,84.97,71.66,112.42,1.54,2.41
2025-11-24,ST001,SKU0001,6.49,189.0,0.0,189.0,87.23,76.17,112.83,1.63,2.42
2025-12-01,ST001,SKU0001,10.66,310.6,0.0,310.6,143.36,129.8,180.8,2.78,3.88
2025-12-08,ST001,SKU0001,9.27,270.13,0.0,270.13,124.68,96.78,173.36,2.08,3.72
2025-12-15,ST001,SKU0001,7.55,220.03,0.0,220.03,101.56,84.87,135.16,1.82,2.9
2025-12-22,ST001,SKU0001,9.39,273.6,0.0,273.6,126.28,136.37,137.23,2.92,2.94
2025-12-29,ST001,SKU0001,9.6,279.68,0.0,279.68,129.09,128.42,151.26,2.75,3.24
2026-01-05,ST001,SKU0001,6.58,191.76,0.0,191.76,88.51,67.27,124.49,1.44,2.67
2026-01-12,ST001,SKU0001,6.19,180.36,0.0,180.36,83.25,67.41,112.94,1.45,2.42
2026-01-19,ST001,SKU0001,8.79,256.08,0.0,256.08,118.2,94.48,161.59,2.03,3.47
2026-01-26,ST001,SKU0001,7.7,224.5,0.0,224.5,103.62,81.92,142.58,1.76,3.06
2026-02-02,ST001,SKU0001,7.78,226.78,0.0,226.78,104.67,97.35,129.43,2.09,2.78
2026-02-09,ST001,SKU0001,6.87,200.15,0.0,200.15,92.38,81.66,118.49,1.75,2.54
2026-02-16,ST001,SKU0001,6.45,187.95,0.0,187.95,86.75,81.26,106.69,1.74,2.29
2026-02-23,ST001,SKU0001,6.62,192.84,0.0,192.84,89.01,67.26,125.59,1.44,2.69
2026-03-02,ST001,SKU0001,5.93,172.7,0.0,172.7,79.71,72.3,100.4,1.55,2.15
2026-03-09,ST001,SKU0001,8.33,242.63,0.0,242.63,111.99,101.43,141.2,2.18,3.03
2026-03-16,ST001,SKU0001,6.9,201.08,0.0,201.08,92.81,85.32,115.75,1.83,2.48
2026-03-23,ST001,SKU0001,8.1,235.95,0.0,235.95,108.91,99.34,136.61,2.13,2.93
2026-03-30,ST001,SKU0001,6.65,193.92,0.0,193.92,89.51,90.24,103.68,1.94,2.22
2026-04-06,ST001,SKU0001,7.36,214.47,0.0,214.47,98.99,104.41,110.06,2.24,2.36
2026-04-13,ST001,SKU0001,7.15,208.47,0.0,208.47,96.22,72.72,135.75,1.56,2.91
2026-04-20,ST001,SKU0001,5.85,170.49,0.0,170.49,78.69,83.98,86.51,1.8,1.86
2026-04-27,ST001,SKU0001,8.45,246.17,0.0,246.17,113.62,98.73,147.44,2.12,3.16
2026-05-04,ST001,SKU0001,6.68,194.6,0.0,194.6,89.82,94.01,100.59,2.02,2.16
2026-05-11,ST001,SKU0001,6.07,176.88,0.0,176.88,81.64,64.62,112.27,1.39,2.41
2026-05-18,ST001,SKU0001,7.54,219.73,0.0,219.73,101.42,85.76,133.97,1.84,2.87
2026-05-25,ST001,SKU0001,7.0,203.85,0.0,203.85,94.09,81.92,121.93,1.76,2.62
2026-06-01,ST001,SKU0001,7.28,212.24,0.0,212.24,97.96,101.96,110.28,2.19,2.37
2026-06-08,ST001,SKU0001,7.08,206.2,0.0,206.2,95.17,91.19,115.01,1.96,2.47
2026-06-15,ST001,SKU0001,5.28,153.8,0.0,153.8,70.99,62.69,91.11,1.34,1.95
2026-06-22,ST001,SKU0001,6.29,183.34,0.0,183.34,84.62,64.0,119.34,1.37,2.56
2024-07-01,ST002,SKU0001,6.26,182.48,0.0,182.48,84.23,41.81,140.67,0.9,3.02
2024-07-08,ST002,SKU0001,7.77,226.4,0.0,226.4,104.5,40.64,185.76,0.87,3.98
2024-07-15,ST002,SKU0001,7.03,204.73,0.0,204.73,94.5,45.37,159.36,0.97,3.42
2024-07-22,ST002,SKU0001,6.72,195.96,0.0,195.96,90.45,58.0,137.96,1.24,2.96
2024-07-29,ST002,SKU0001,7.45,217.15,0.0,217.15,100.23,67.9,149.25,1.46,3.2
2024-08-05,ST002,SKU0001,6.87,200.2,0.0,200.2,92.4,42.25,157.95,0.91,3.39
2024-08-12,ST002,SKU0001,6.81,198.5,0.0,198.5,91.62,51.2,147.3,1.1,3.16
2024-08-19,ST002,SKU0001,7.15,208.3,0.0,208.3,96.14,39.91,168.39,0.86,3.61
2024-08-26,ST002,SKU0001,7.08,206.19,0.0,206.19,95.17,53.04,153.15,1.14,3.28
2024-09-02,ST002,SKU0001,9.11,265.6,0.0,265.6,122.59,90.22,175.39,1.93,3.76
2024-09-09,ST002,SKU0001,6.28,183.09,0.0,183.09,84.51,42.38,140.72,0.91,3.02
2024-09-16,ST002,SKU0001,5.77,168.16,0.0,168.16,77.62,36.37,131.79,0.78,2.83
2024-09-23,ST002,SKU0001,7.27,211.71,0.0,211.71,97.72,64.81,146.9,1.39,3.15
2024-09-30,ST002,SKU0001,6.39,186.13,0.0,186.13,85.91,39.67,146.47,0.85,3.14
2024-10-07,ST002,SKU0001,5.2,151.42,0.0,151.42,69.89,35.99,115.43,0.77,2.48
2024-10-14,ST002,SKU0001,6.11,177.97,0.0,177.97,82.15,39.04,138.94,0.84,2.98
2024-10-21,ST002,SKU0001,6.26,182.52,0.0,182.52,84.24,44.01,138.51,0.94,2.97
2024-10-28,ST002,SKU0001,5.52,160.96,0.0,160.96,74.29,27.76,133.19,0.6,2.86
2024-11-04,ST002,SKU0001,8.79,256.1,0.0,256.1,118.21,46.47,209.63,1.0,4.5
2024-11-11,ST002,SKU0001,6.08,177.13,0.0,177.13,81.76,59.81,117.32,1.28,2.52
2024-11-18,ST002,SKU0001,9.44,275.09,0.0,275.09,126.97,51.51,223.58,1.1,4.8
2024-11-25,ST002,SKU0001,6.69,194.97,0.0,194.97,89.99,51.26,143.71,1.1,3.08
2024-12-02,ST002,SKU0001,11.41,332.5,0.0,332.5,153.47,65.33,267.17,1.4,5.73
2024-12-09,ST002,SKU0001,9.17,267.27,0.0,267.27,123.36,76.09,191.18,1.63,4.1
2024-12-16,ST002,SKU0001,9.94,289.74,0.0,289.74,133.73,65.78,223.96,1.41,4.8
2024-12-23,ST002,SKU0001,9.3,270.95,0.0,270.95,125.06,47.98,222.97,1.03,4.78
2024-12-30,ST002,SKU0001,9.18,267.5,0.0,267.5,123.47,62.2,205.31,1.33,4.4
2025-01-06,ST002,SKU0001,7.2,209.66,0.0,209.66,96.77,45.72,163.94,0.98,3.52
2025-01-13,ST002,SKU0001,7.4,215.52,0.0,215.52,99.48,63.89,151.63,1.37,3.25
2025-01-20,ST002,SKU0001,7.13,207.78,0.0,207.78,95.91,54.73,153.05,1.17,3.28
2025-01-27,ST002,SKU0001,7.04,205.28,0.0,205.28,94.75,50.46,154.82,1.08,3.32
2025-02-03,ST002,SKU0001,6.39,186.32,0.0,186.32,86.0,48.75,137.57,1.05,2.95
2025-02-10,ST002,SKU0001,6.92,201.6,0.0,201.6,93.05,70.66,130.94,1.52,2.81
2025-02-17,ST002,SKU0001,8.32,242.49,0.0,242.49,111.93,64.29,178.2,1.38,3.82
2025-02-24,ST002,SKU0001,6.36,185.3,0.0,185.3,85.53,35.25,150.06,0.76,3.22
2025-03-03,ST002,SKU0001,8.0,233.14,0.0,233.14,107.61,60.37,172.76,1.29,3.71
2025-03-10,ST002,SKU0001,7.4,215.73,0.0,215.73,99.57,34.21,181.52,0.73,3.89
2025-03-17,ST002,SKU0001,7.78,226.68,0.0,226.68,104.63,60.87,165.81,1.31,3.56
2025-03-24,ST002,SKU0001,6.07,176.8,0.0,176.8,81.6,39.29,137.51,0.84,2.95
2025-03-31,ST002,SKU0001,7.22,210.44,0.0,210.44,97.13,52.28,158.15,1.12,3.39
2025-04-07,ST002,SKU0001,6.75,196.83,0.0,196.83,90.85,47.37,149.46,1.02,3.21
2025-04-14,ST002,SKU0001,6.79,197.81,0.0,197.81,91.3,50.14,147.68,1.08,3.17
2025-04-21,ST002,SKU0001,8.24,240.0,0.0,240.0,110.77,28.2,211.8,0.6,4.54
2025-04-28,ST002,SKU0001,6.8,198.18,0.0,198.18,91.47,50.47,147.72,1.08,3.17
2025-05-05,ST002,SKU0001,7.25,211.23,0.0,211.23,97.49,48.0,163.23,1.03,3.5
2025-05-12,ST002,SKU0001,5.52,160.98,0.0,160.98,74.3,42.21,118.77,0.91,2.55
2025-05-19,ST002,SKU0001,8.45,246.26,0.0,246.26,113.67,41.65,204.61,0.89,4.39
2025-05-26,ST002,SKU0001,7.73,225.12,0.0,225.12,103.91,51.64,173.48,1.11,3.72
2025-06-02,ST002,SKU0001,6.95,202.48,0.0,202.48,93.46,39.12,163.36,0.84,3.5
2025-06-09,ST002,SKU0001,6.72,195.79,0.0,195.79,90.37,60.86,134.94,1.31,2.89
2025-06-16,ST002,SKU0001,7.49,218.24,0.0,218.24,100.73,72.55,145.69,1.56,3.12
2025-06-23,ST002,SKU0001,7.99,232.8,0.0,232.8,107.45,62.34,170.46,1.34,3.66
2025-06-30,ST002,SKU0001,8.46,246.67,0.0,246.67,113.85,66.05,180.62,1.42,3.87
2025-07-07,ST002,SKU0001,7.7,224.25,0.0,224.25,103.5,51.8,172.45,1.11,3.7
2025-07-14,ST002,SKU0001,7.06,205.61,0.0,205.61,94.9,43.37,162.23,0.93,3.48
2025-07-21,ST002,SKU0001,7.83,228.2,0.0,228.2,105.33,42.65,185.55,0.91,3.98
2025-07-28,ST002,SKU0001,7.66,223.13,0.0,223.13,102.99,52.72,170.41,1.13,3.65
2025-08-04,ST002,SKU0001,7.98,232.65,0.0,232.65,107.38,65.93,166.72,1.41,3.58
2025-08-11,ST002,SKU0001,8.53,248.55,0.0,248.55,114.72,70.18,178.36,1.51,3.83
2025-08-18,ST002,SKU0001,5.68,165.5,0.0,165.5,76.39,40.13,125.37,0.86,2.69
2025-08-25,ST002,SKU0001,6.02,175.29,0.0,175.29,80.91,38.55,136.74,0.83,2.93
2025-09-01,ST002,SKU0001,8.27,240.97,0.0,240.97,111.22,66.92,174.05,1.44,3.73
2025-09-08,ST002,SKU0001,6.41,186.87,0.0,186.87,86.25,36.47,150.41,0.78,3.23
2025-09-15,ST002,SKU0001,7.03,204.78,0.0,204.78,94.52,37.88,166.9,0.81,3.58
2025-09-22,ST002,SKU0001,6.44,187.55,0.0,187.55,86.57,49.03,138.52,1.05,2.97
2025-09-29,ST002,SKU0001,7.97,232.26,0.0,232.26,107.2,64.16,168.09,1.38,3.61
2025-10-06,ST002,SKU0001,5.08,147.89,0.0,147.89,68.26,38.61,109.29,0.83,2.34
2025-10-13,ST002,SKU0001,7.06,205.74,0.0,205.74,94.96,54.83,150.91,1.18,3.24
2025-10-20,ST002,SKU0001,8.36,243.54,0.0,243.54,112.41,34.74,208.8,0.75,4.48
2025-10-27,ST002,SKU0001,6.5,189.51,0.0,189.51,87.47,52.19,137.33,1.12,2.95
2025-11-03,ST002,SKU0001,5.67,165.27,0.0,165.27,76.28,52.82,112.44,1.13,2.41
2025-11-10,ST002,SKU0001,7.31,213.0,0.0,213.0,98.31,61.38,151.62,1.32,3.25
2025-11-17,ST002,SKU0001,6.52,190.0,0.0,190.0,87.7,54.44,135.57,1.17,2.91
2025-11-24,ST002,SKU0001,7.9,230.13,0.0,230.13,106.22,59.25,170.88,1.27,3.67
2025-12-01,ST002,SKU0001,9.72,283.12,0.0,283.12,130.68,73.42,209.69,1.57,4.5
2025-12-08,ST002,SKU0001,8.47,246.84,0.0,246.84,113.93,58.86,187.98,1.26,4.03
2025-12-15,ST002,SKU0001,9.28,270.33,0.0,270.33,124.78,71.64,198.7,1.54,4.26
2025-12-22,ST002,SKU0001,10.58,308.41,0.0,308.41,142.35,59.49,248.92,1.28,5.34
2025-12-29,ST002,SKU0001,9.31,271.24,0.0,271.24,125.2,86.77,184.47,1.86,3.96
2026-01-05,ST002,SKU0001,6.38,185.78,0.0,185.78,85.75,38.03,147.75,0.82,3.17
2026-01-12,ST002,SKU0001,7.17,208.93,0.0,208.93,96.44,60.18,148.75,1.29,3.19
2026-01-19,ST002,SKU0001,7.01,204.26,0.0,204.26,94.28,63.78,140.47,1.37,3.01
2026-01-26,ST002,SKU0001,7.72,224.95,0.0,224.95,103.83,64.77,160.18,1.39,3.44
2026-02-02,ST002,SKU0001,7.47,217.54,0.0,217.54,100.41,78.8,138.75,1.69,2.98
2026-02-09,ST002,SKU0001,6.83,198.96,0.0,198.96,91.83,28.98,169.98,0.62,3.65
2026-02-16,ST002,SKU0001,8.35,243.25,0.0,243.25,112.27,54.23,189.02,1.16,4.05
2026-02-23,ST002,SKU0001,7.09,206.62,0.0,206.62,95.37,64.32,142.3,1.38,3.05
2026-03-02,ST002,SKU0001,5.65,164.76,0.0,164.76,76.05,30.19,134.57,0.65,2.89
2026-03-09,ST002,SKU0001,5.65,164.78,0.0,164.78,76.06,33.97,130.82,0.73,2.81
2026-03-16,ST002,SKU0001,7.37,214.74,0.0,214.74,99.12,58.42,156.32,1.25,3.35
2026-03-23,ST002,SKU0001,7.23,210.74,0.0,210.74,97.27,36.92,173.82,0.79,3.73
2026-03-30,ST002,SKU0001,5.06,147.43,0.0,147.43,68.05,36.64,110.79,0.79,2.38
2026-04-06,ST002,SKU0001,6.6,192.43,0.0,192.43,88.82,51.72,140.71,1.11,3.02
2026-04-13,ST002,SKU0001,7.59,221.16,0.0,221.16,102.08,55.9,165.27,1.2,3.54
2026-04-20,ST002,SKU0001,7.64,222.59,0.0,222.59,102.74,57.27,165.32,1.23,3.55
2026-04-27,ST002,SKU0001,7.45,216.95,0.0,216.95,100.14,45.69,171.27,0.98,3.67
2026-05-04,ST002,SKU0001,6.85,199.58,0.0,199.58,92.12,51.03,148.56,1.09,3.19
2026-05-11,ST002,SKU0001,7.69,224.06,0.0,224.06,103.42,50.67,173.39,1.09,3.72
2026-05-18,ST002,SKU0001,7.44,216.74,0.0,216.74,100.04,50.4,166.34,1.08,3.57
2026-05-25,ST002,SKU0001,6.9,201.1,0.0,201.1,92.82,57.78,143.33,1.24,3.07
2026-06-01,ST002,SKU0001,5.33,155.19,0.0,155.19,71.63,28.09,127.1,0.6,2.73
2026-06-08,ST002,SKU0001,5.75,167.7,0.0,167.7,77.4,21.66,146.04,0.46,3.13
2026-06-15,ST002,SKU0001,6.43,187.38,0.0,187.38,86.49,53.08,134.29,1.14,2.88
2026-06-22,ST002,SKU0001,6.76,197.01,0.0,197.01,90.93,50.38,146.63,1.08,3.14
2024-07-01,ST003,SKU0001,7.91,230.64,0.0,230.64,106.46,95.73,134.92,2.05,2.89
2024-07-08,ST003,SKU0001,6.94,202.29,0.0,202.29,93.37,84.22,118.07,1.81,2.53
2024-07-15,ST003,SKU0001,7.08,206.24,0.0,206.24,95.19,63.27,142.97,1.36,3.07
2024-07-22,ST003,SKU0001,6.5,189.43,0.0,189.43,87.43,52.02,137.41,1.12,2.95
2024-07-29,ST003,SKU0001,6.25,182.24,0.0,182.24,84.12,60.28,121.96,1.29,2.62
2024-08-05,ST003,SKU0001,7.68,223.65,0.0,223.65,103.23,97.22,126.43,2.09,2.71
2024-08-12,ST003,SKU0001,5.84,170.15,0.0,170.15,78.53,62.66,107.48,1.34,2.31
2024-08-19,ST003,SKU0001,6.13,178.51,0.0,178.51,82.39,66.48,112.03,1.43,2.4
2024-08-26,ST003,SKU0001,6.89,200.77,0.0,200.77,92.67,51.62,149.15,1.11,3.2
2024-09-02,ST003,SKU0001,7.78,226.7,0.0,226.7,104.64,72.18,154.52,1.55,3.31
2024-09-09,ST003,SKU0001,6.55,190.91,0.0,190.91,88.12,56.35,134.56,1.21,2.89
2024-09-16,ST003,SKU0001,6.45,187.96,0.0,187.96,86.76,69.56,118.41,1.49,2.54
2024-09-23,ST003,SKU0001,6.84,199.35,0.0,199.35,92.01,72.78,126.57,1.56,2.71
2024-09-30,ST003,SKU0001,7.3,212.84,0.0,212.84,98.24,88.26,124.58,1.89,2.67
2024-10-07,ST003,SKU0001,6.71,195.59,0.0,195.59,90.28,53.75,141.84,1.15,3.04
2024-10-14,ST003,SKU0001,7.9,230.1,0.0,230.1,106.21,76.41,153.69,1.64,3.3
2024-10-21,ST003,SKU0001,7.94,231.26,0.0,231.26,106.74,85.06,146.2,1.82,3.14
2024-10-28,ST003,SKU0001,6.89,200.77,0.0,200.77,92.67,73.5,127.27,1.58,2.73
2024-11-04,ST003,SKU0001,8.64,251.74,0.0,251.74,116.19,113.91,137.82,2.44,2.96
2024-11-11,ST003,SKU0001,7.06,205.68,0.0,205.68,94.93,73.36,132.32,1.57,2.84
2024-11-18,ST003,SKU0001,7.9,230.32,0.0,230.32,106.31,70.56,159.76,1.51,3.43
2024-11-25,ST003,SKU0001,7.28,212.13,0.0,212.13,97.91,73.69,138.45,1.58,2.97
2024-12-02,ST003,SKU0001,9.81,285.75,0.0,285.75,131.89,87.72,198.03,1.88,4.25
2024-12-09,ST003,SKU0001,7.65,222.85,0.0,222.85,102.86,54.6,168.25,1.17,3.61
2024-12-16,ST003,SKU0001,8.18,238.45,0.0,238.45,110.06,77.67,160.78,1.67,3.45
2024-12-23,ST003,SKU0001,9.12,265.68,0.0,265.68,122.63,118.37,147.32,2.54,3.16
2024-12-30,ST003,SKU0001,10.7,311.92,0.0,311.92,143.97,93.75,218.17,2.01,4.68
2025-01-06,ST003,SKU0001,7.29,212.49,0.0,212.49,98.08,69.76,142.73,1.5,3.06
2025-01-13,ST003,SKU0001,6.76,197.02,0.0,197.02,90.94,70.52,126.5,1.51,2.71
2025-01-20,ST003,SKU0001,7.52,219.14,0.0,219.14,101.15,72.69,146.45,1.56,3.14
2025-01-27,ST003,SKU0001,7.89,230.02,0.0,230.02,106.17,67.06,162.96,1.44,3.5
2025-02-03,ST003,SKU0001,7.01,204.14,0.0,204.14,94.22,97.69,106.45,2.1,2.28
2025-02-10,ST003,SKU0001,7.19,209.44,0.0,209.44,96.67,88.03,121.41,1.89,2.6
2025-02-17,ST003,SKU0001,7.08,206.22,0.0,206.22,95.18,77.89,128.33,1.67,2.75
